total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,branch_count,decision_count,call_pairs,condition_count,multiple_condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_complexity,design_density,normalized_cyclomatic_complexity,formal_parameters,defects
7.0,0.0,4.0,0.0,3.0,8.0,6.0,10.0,12.0,14.0,22.0,58.0,0.27,3.7,214.81,0.02,11.93,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,0.0,0.14,0.0,-1
9.0,0.0,1.0,0.0,8.0,7.0,8.0,15.0,20.0,15.0,35.0,94.0,0.12,8.33,783.33,0.03,43.52,2.0,1.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,0.0,0.22,0.0,-1
21.0,0.0,14.0,1.0,7.0,15.0,12.0,21.0,36.0,27.0,57.0,187.0,0.12,8.33,1558.33,0.06,86.57,8.0,4.0,1.0,4.0,1.0,4.0,0.57,1.0,1.0,0.25,0.19,0.0,-1
30.0,0.0,11.0,0.0,19.0,16.0,18.0,50.0,70.0,34.0,120.0,423.0,0.04,25.0,10575.0,0.14,587.5,20.0,10.0,1.0,9.0,2.0,9.0,0.47,1.11,1.0,0.11,0.3,0.0,1
8.0,0.0,2.0,0.0,6.0,4.0,5.0,5.0,10.0,9.0,15.0,32.0,0.32,3.13,100.0,0.01,5.56,2.0,1.0,1.0,1.0,0.0,2.0,0.33,1.0,1.0,0.5,0.25,0.0,-1
7.0,0.0,1.0,0.0,6.0,4.0,5.0,4.0,11.0,9.0,15.0,32.0,0.4,2.5,80.0,0.01,4.44,2.0,1.0,2.0,0.0,0.0,2.0,0.33,0.0,2.0,1.0,0.29,0.0,-1
22.0,0.0,5.0,0.0,17.0,15.0,9.0,38.0,50.0,24.0,88.0,279.0,0.09,11.11,3100.0,0.09,172.22,16.0,8.0,0.0,8.0,4.0,5.0,0.29,1.0,0.0,0.0,0.23,0.0,-1
32.0,0.0,10.0,0.0,22.0,19.0,9.0,26.0,46.0,28.0,72.0,239.0,0.16,6.25,1493.75,0.08,82.99,16.0,8.0,3.0,8.0,2.0,7.0,0.32,1.0,3.0,0.43,0.22,0.0,-1
14.0,0.0,5.0,0.0,9.0,13.0,8.0,22.0,30.0,21.0,52.0,158.0,0.15,6.67,1053.33,0.05,58.52,4.0,2.0,3.0,2.0,1.0,2.0,0.22,1.0,3.0,1.5,0.14,0.0,-1
9.0,0.0,1.0,0.0,8.0,8.0,8.0,10.0,18.0,16.0,28.0,77.0,0.2,5.0,385.0,0.03,21.39,4.0,2.0,0.0,2.0,0.0,3.0,0.38,1.0,0.0,0.0,0.33,0.0,-1
